x-axis E-06, 1 E-03
second,Volt
-4.380000,+263.536429498
-4.375000,+287.657032255
-4.370000,+255.496228579
-4.365000,+239.415826742
-4.360000,+223.335424904
-4.355000,+191.174621228
-4.350000,-129.930902971
-4.345000,-259.076630231
-4.340000,-275.157032069
-4.335000,-275.157032069
-4.330000,-283.197232988
-4.325000,-283.197232988
-4.320000,-267.116831150
-4.315000,-259.076630231
-4.310000,-242.996228393
-4.305000,-218.875625636
-4.300000,+126.350501319
-4.295000,+254.993716022
-4.290000,+231.375625823
-4.285000,+247.456027661
-4.280000,+263.536429498
-4.275000,+279.616831336
-4.270000,+255.496228579
-4.265000,+238.913314184
-4.260000,+223.335424904
-4.255000,+199.214822147
-4.250000,-113.850501133
-4.245000,-250.533916755
-4.240000,-251.036429312
-4.235000,-259.076630231
-4.230000,-266.614318592
-4.225000,-275.157032069
-4.220000,-259.076630231
-4.215000,-250.533916755
-4.210000,-242.996228393
-4.205000,-210.835424718
-4.200000,+110.270099482
-4.195000,+230.873113265
-4.190000,+207.255023066
-4.185000,+222.832912346
-4.180000,+254.993716022
-4.175000,+255.496228579
-4.170000,+238.913314184
-4.165000,+231.375625823
-4.160000,+215.295223985
-4.155000,+199.214822147
-4.150000,-105.810300214
-4.145000,-226.413313998
-4.140000,-226.915826555
-4.135000,-242.996228393
-4.130000,-251.036429312
-4.125000,-251.036429312
-4.120000,-242.996228393
-4.115000,-226.915826555
-4.110000,-234.956027474
-4.105000,-210.835424718
-4.100000,+94.189697644
-4.095000,+207.255023066
-4.090000,+183.134420309
-4.085000,+206.752510509
-4.080000,+230.873113265
-4.075000,+231.375625823
-4.070000,+207.255023066
-4.065000,+206.752510509
-4.060000,+207.255023066
-4.055000,+191.174621228
-4.050000,-89.729898376
-4.045000,-194.755022880
-4.040000,-202.292711241
-4.035000,-210.332912160
-4.030000,-226.413313998
-4.025000,-226.915826555
-4.020000,-210.835424718
-4.015000,-210.835424718
-4.010000,-202.795223799
-4.005000,-194.755022880
-4.000000,+86.149496725
-3.995000,+175.094219390
-3.990000,+159.013817552
-3.985000,+174.591706833
-3.980000,+191.174621228
-3.975000,+207.255023066
-3.970000,+182.631907752
-3.965000,+175.094219390
-3.960000,+183.134420309
-3.955000,+167.054018471
-3.950000,-81.689697457
-3.945000,-170.634420123
-3.940000,-170.634420123
-3.935000,-186.714821961
-3.930000,-186.714821961
-3.925000,-194.755022880
-3.920000,-186.212309403
-3.915000,-178.674621042
-3.910000,-178.674621042
-3.905000,-170.634420123
-3.900000,+78.109295806
-3.895000,+150.973616634
-3.890000,+142.933415715
-3.885000,+150.471104076
-3.880000,+159.013817552
-3.875000,+167.054018471
-3.870000,+150.973616634
-3.865000,+142.933415715
-3.860000,+150.973616634
-3.855000,+142.933415715
-3.850000,-65.609295620
-3.845000,-146.011304809
-3.840000,-138.473616447
-3.835000,-154.554018285
-3.830000,-162.594219204
-3.825000,-170.634420123
-3.820000,-154.051505728
-3.815000,-146.513817366
-3.810000,-154.051505728
-3.805000,-146.513817366
-3.800000,+62.028893968
-3.795000,+118.812812958
-3.790000,+118.310300400
-3.785000,+118.310300400
-3.780000,+126.853013877
-3.775000,+142.933415715
-3.770000,+126.350501319
-3.765000,+118.812812958
-3.760000,+118.812812958
-3.755000,+110.772612039
-3.750000,-65.609295620
-3.745000,-114.353013691
-3.740000,-114.353013691
-3.735000,-122.393214609
-3.730000,-122.393214609
-3.725000,-129.930902971
-3.720000,-114.353013691
-3.715000,-114.353013691
-3.710000,-114.353013691
-3.705000,-113.850501133
-3.700000,+45.948492130
-3.695000,+94.189697644
-3.690000,+86.652009282
-3.685000,+94.189697644
-3.680000,+94.692210201
-3.675000,+102.732411120
-3.670000,+86.652009282
-3.665000,+86.652009282
-3.660000,+86.652009282
-3.655000,+78.611808363
-3.650000,-41.488692863
-3.645000,-81.689697457
-3.640000,-82.192210015
-3.635000,-89.729898376
-3.630000,-82.192210015
-3.625000,-98.272611853
-3.620000,-82.192210015
-3.615000,-82.192210015
-3.610000,-89.729898376
-3.605000,-82.192210015
-3.600000,+29.868090292
-3.595000,+62.531406526
-3.590000,+54.491205607
-3.585000,+53.988693049
